2815858805760000; 2; 6; 0; [0, 1]
1187940433680000; 2; 8; 0; [0, 1]
834328535040000; 2; 9; 0; [0, 0]
608225502044160; 2; 10; 0; [0, 1]
351982350720000; 2; 12; 0; [0, 1]
180214963568640; 2; 15; 0; [0, 1]
148492554210000; 2; 16; 0; [0, 1]
104291066880000; 2; 18; 0; [0, 1]
76028187755520; 2; 20; 0; [0, 1]
43997793840000; 2; 24; 0; [0, 1]
22526870446080; 2; 30; 0; [0, 1]
18561569276250; 2; 32; 0; [0, 1]
13036383360000; 2; 36; 0; [0, 1]
9503523469440; 2; 40; 0; [0, 1]
6674628280320; 2; 45; 0; [0, 1]
5499724230000; 2; 48; 0; [0, 1]
2815858805760; 2; 60; 1; [0, 1]
1629547920000; 2; 72; 1; [0, 1]
1187940433680; 2; 80; 0; [0, 1]
834328535040; 2; 90; 1; [0, 1]
687465528750; 2; 96; 1; [0, 1]
351982350720; 2; 120; 3; [0, 1]
203693490000; 2; 144; 2; [0, 1]
148492554210; 2; 160; 1; [0, 1]
104291066880; 2; 180; 4; [0, 1]
43997793840; 2; 240; 6; [0, 1]
25461686250; 2; 288; 5; [0, 1]
13036383360; 2; 360; 10; [0, 1]
5499724230; 2; 480; 11; [0, 1]
1629547920; 2; 720; 18; [0, 1]
203693490; 2; 1440; 30; [0, 1]
1251492802560000; 3; 6; 0; [0, 1]
527973526080000; 3; 8; 0; [0, 1]
370812682240000; 3; 9; 0; [0, 0]
270322445352960; 3; 10; 0; [0, 1]
156436600320000; 3; 12; 0; [0, 1]
80095539363840; 3; 15; 0; [0, 1]
65996690760000; 3; 16; 0; [0, 1]
46351585280000; 3; 18; 0; [0, 1]
33790305669120; 3; 20; 0; [0, 1]
19554575040000; 3; 24; 0; [0, 1]
10011942420480; 3; 30; 0; [0, 1]
8249586345000; 3; 32; 0; [0, 1]
5793948160000; 3; 36; 0; [0, 1]
4223788208640; 3; 40; 1; [0, 1]
2966501457920; 3; 45; 0; [0, 1]
2444321880000; 3; 48; 1; [0, 1]
1251492802560; 3; 60; 1; [0, 1]
1031198293125; 3; 64; 1; [0, 1]
724243520000; 3; 72; 1; [0, 1]
527973526080; 3; 80; 2; [0, 1]
370812682240; 3; 90; 1; [0, 1]
305540235000; 3; 96; 2; [0, 1]
156436600320; 3; 120; 4; [0, 1]
90530440000; 3; 144; 3; [0, 1]
65996690760; 3; 160; 4; [0, 1]
46351585280; 3; 180; 4; [0, 1]
38192529375; 3; 192; 4; [0, 1]
19554575040; 3; 240; 8; [0, 1]
11316305000; 3; 288; 6; [0, 1]
8249586345; 3; 320; 6; [0, 1]
5793948160; 3; 360; 11; [0, 1]
2444321880; 3; 480; 14; [0, 1]
1414538125; 3; 576; 10; [0, 1]
724243520; 3; 720; 20; [0, 1]
305540235; 3; 960; 21; [0, 1]
90530440; 3; 1440; 33; [0, 1]
11316305; 3; 2880; 48; [0, 1]
703964701440000; 4; 6; 0; [0, 1]
296985108420000; 4; 8; 0; [0, 1]
208582133760000; 4; 9; 0; [0, 0]
152056375511040; 4; 10; 0; [0, 1]
87995587680000; 4; 12; 0; [0, 1]
45053740892160; 4; 15; 0; [0, 1]
37123138552500; 4; 16; 0; [0, 1]
26072766720000; 4; 18; 0; [0, 1]
19007046938880; 4; 20; 0; [0, 1]
10999448460000; 4; 24; 0; [0, 1]
5631717611520; 4; 30; 1; [0, 1]
3259095840000; 4; 36; 1; [0, 1]
2375880867360; 4; 40; 0; [0, 1]
1668657070080; 4; 45; 0; [0, 1]
1374931057500; 4; 48; 1; [0, 1]
703964701440; 4; 60; 2; [0, 1]
407386980000; 4; 72; 1; [0, 1]
296985108420; 4; 80; 1; [0, 1]
208582133760; 4; 90; 3; [0, 1]
87995587680; 4; 120; 4; [0, 1]
50923372500; 4; 144; 4; [0, 1]
26072766720; 4; 180; 6; [0, 1]
10999448460; 4; 240; 8; [0, 1]
